,name,ageDuringRace,points
2441,Lewis Hamilton,30,18.0
2442,Lewis Hamilton,31,25.0
2443,Lewis Hamilton,32,12.0
2444,Lewis Hamilton,33,25.0
2445,Lewis Hamilton,34,6.0
2446,Felipe Massa,33,15.0
2447,Felipe Massa,34,0.0
2448,Felipe Massa,35,0.0
2449,Felipe Massa,36,6.0
2450,Daniel Ricciardo,25,0.0
2451,Daniel Ricciardo,26,0.0
2452,Daniel Ricciardo,27,4.0
2453,Daniel Ricciardo,28,8.0
2454,Daniel Ricciardo,29,12.0
2455,Daniel Ricciardo,30,8.0
2456,Will Stevens,24,0.0
2458,Felipe Nasr,23,0.0
2459,Felipe Nasr,24,2.0
2460,Carlos Sainz,21,0.0
2461,Carlos Sainz,22,8.0
2462,Carlos Sainz,23,0.0
2463,Carlos Sainz,24,0.0
2464,Carlos Sainz,25,15.0
2465,Max Verstappen,18,2.0
2466,Max Verstappen,19,15.0
2467,Max Verstappen,20,10.0
2468,Max Verstappen,21,18.0
2469,Max Verstappen,22,25.0
2470,Alexander Rossi,24,0.0
2472,Jolyon Palmer,25,0.0
2473,Pascal Wehrlein,22,0.0
2474,Pascal Wehrlein,23,0.0
2475,Stoffel Vandoorne,25,0.0
2476,Stoffel Vandoorne,26,0.0
2477,Esteban Ocon,20,0.0
2478,Esteban Ocon,21,0.0
2479,Esteban Ocon,22,0.0
2480,Antonio Giovinazzi,25,10.0
2481,Lance Stroll,19,0.0
2482,Lance Stroll,20,0.0
2483,Lance Stroll,21,0.0
2484,Pierre Gasly,21,0.0
2485,Pierre Gasly,22,0.0
2486,Pierre Gasly,23,18.0
2487,Brendon Hartley,28,0.0
2488,Brendon Hartley,29,0.0
2489,Charles Leclerc,21,6.0
2490,Charles Leclerc,22,0.0
2491,Sergey Sirotkin,23,0.0
2492,Lando Norris,20,4.0
2493,Alexander Albon,23,0.0
2494,George Russell,21,0.0
2495,Robert Kubica,34,0.0
2497,Nico Rosberg,29,0.0
2498,Nico Rosberg,30,25.0
2499,Nico Rosberg,31,18.0
2500,Kevin Magnussen,22,0.0
2501,Kevin Magnussen,24,0.0
2502,Kevin Magnussen,25,0.0
2503,Kevin Magnussen,26,1.0
2504,Kevin Magnussen,27,0.0
2505,Kevin Magnussen,28,0.0
2506,Jenson Button,34,20.0
2507,Jenson Button,35,0.0
2508,Jenson Button,36,0.0
2509,Fernando Alonso,33,4.0
2510,Fernando Alonso,34,0.0
2511,Fernando Alonso,35,1.0
2512,Fernando Alonso,36,2.0
2513,Fernando Alonso,37,0.0
2514,Valtteri Bottas,25,30.0
2515,Valtteri Bottas,26,0.0
2516,Valtteri Bottas,27,0.0
2517,Valtteri Bottas,28,25.0
2518,Valtteri Bottas,29,10.0
2519,Valtteri Bottas,30,12.0
2520,Valtteri Bottas,31,18.0
2521,Nico Hülkenberg,27,16.0
2522,Nico Hülkenberg,28,6.0
2523,Nico Hülkenberg,29,6.0
2524,Nico Hülkenberg,30,8.0
2525,Nico Hülkenberg,31,0.0
2526,Nico Hülkenberg,32,0.0
2527,Kimi Räikkönen,35,2.0
2528,Kimi Räikkönen,36,15.0
2529,Kimi Räikkönen,37,8.0
2530,Kimi Räikkönen,38,12.0
2531,Kimi Räikkönen,39,0.0
2532,Kimi Räikkönen,40,0.0
2533,Kimi Räikkönen,41,0.0
2534,Jean-Éric Vergne,24,0.0
2535,Daniil Kvyat,20,0.0
2536,Daniil Kvyat,21,1.0
2537,Daniil Kvyat,22,0.0
2538,Daniil Kvyat,25,2.0
2539,Daniil Kvyat,26,0.0
2540,Sergio Pérez,24,12.0
2541,Sergio Pérez,25,10.0
2542,Sergio Pérez,26,4.0
2543,Sergio Pérez,27,6.0
2544,Sergio Pérez,28,4.0
2545,Sergio Pérez,29,6.0
2546,Sergio Pérez,30,0.0
2547,Adrian Sutil,31,0.0
2548,Esteban Gutiérrez,23,0.0
2549,Esteban Gutiérrez,25,0.0
2550,Romain Grosjean,28,0.0
2551,Romain Grosjean,29,2.0
2552,Romain Grosjean,30,0.0
2553,Romain Grosjean,31,0.0
2554,Romain Grosjean,32,2.0
2555,Romain Grosjean,33,0.0
2556,Pastor Maldonado,29,0.0
2557,Pastor Maldonado,30,0.0
2558,Marcus Ericsson,25,0.0
2559,Marcus Ericsson,26,0.0
2560,Marcus Ericsson,27,0.0
2561,Marcus Ericsson,28,0.0
2562,Sebastian Vettel,27,8.0
2563,Sebastian Vettel,28,12.0
2564,Sebastian Vettel,29,15.0
2565,Sebastian Vettel,30,15.0
2566,Sebastian Vettel,31,18.0
2567,Sebastian Vettel,32,10.0
2568,Sebastian Vettel,33,0.0
2569,Lewis Hamilton,29,50.0
2570,Lewis Hamilton,30,18.0
2571,Lewis Hamilton,31,25.0
2572,Lewis Hamilton,32,18.0
2573,Lewis Hamilton,33,25.0
2574,Lewis Hamilton,34,26.0
2575,Lewis Hamilton,35,15.0
2576,Felipe Massa,33,36.0
2577,Felipe Massa,34,4.0
2578,Felipe Massa,35,2.0
2579,Felipe Massa,36,1.0
2580,Kamui Kobayashi,28,0.0
2581,Daniel Ricciardo,25,24.0
2582,Daniel Ricciardo,26,8.0
2583,Daniel Ricciardo,27,10.0
2584,Daniel Ricciardo,28,0.0
2585,Daniel Ricciardo,29,12.0
2586,Daniel Ricciardo,30,0.0
2587,Daniel Ricciardo,31,7.0
2588,Will Stevens,23,0.0
2589,Will Stevens,24,0.0
2590,Felipe Nasr,23,0.0
2591,Felipe Nasr,24,0.0
2592,Carlos Sainz,21,0.0
2593,Carlos Sainz,22,0.0
2594,Carlos Sainz,23,0.0
2595,Carlos Sainz,24,8.0
2596,Carlos Sainz,25,1.0
2597,Carlos Sainz,26,8.0
2598,Max Verstappen,18,0.0
2599,Max Verstappen,19,12.0
2600,Max Verstappen,20,10.0
2601,Max Verstappen,21,15.0
2602,Max Verstappen,22,18.0
2603,Max Verstappen,23,25.0
2604,Roberto Merhi,24,0.0
2605,Jolyon Palmer,25,0.0
2606,Pascal Wehrlein,22,0.0
2607,Pascal Wehrlein,23,0.0
2608,Stoffel Vandoorne,25,0.0
2609,Stoffel Vandoorne,26,0.0
2610,Esteban Ocon,20,0.0
2611,Esteban Ocon,21,4.0
2612,Esteban Ocon,22,0.0
2613,Esteban Ocon,24,2.0
2614,Antonio Giovinazzi,25,0.0
2615,Antonio Giovinazzi,27,0.0
2616,Lance Stroll,19,0.0
2617,Lance Stroll,20,0.0
2618,Lance Stroll,21,0.0
2619,Lance Stroll,22,1.0
2620,Pierre Gasly,21,0.0
2621,Pierre Gasly,22,0.0
2622,Pierre Gasly,23,0.0
2623,Pierre Gasly,24,4.0
2624,Brendon Hartley,28,0.0
2625,Brendon Hartley,29,0.0
2626,Charles Leclerc,21,6.0
2627,Charles Leclerc,22,15.0
2628,Charles Leclerc,23,0.0
2629,Sergey Sirotkin,23,0.0
2630,Lando Norris,20,4.0
2631,Lando Norris,21,10.0
2632,Alexander Albon,23,8.0
2633,Alexander Albon,24,12.0
2634,George Russell,21,0.0
2635,George Russell,22,0.0
2636,Robert Kubica,35,0.0
2637,Nicholas Latifi,25,0.0
2638,Pietro Fittipaldi,24,0.0
2640,Nico Rosberg,30,25.0
2641,Nico Rosberg,31,18.0
2642,Kevin Magnussen,24,0.0
2643,Kevin Magnussen,25,4.0
2644,Kevin Magnussen,26,0.0
2645,Kevin Magnussen,27,0.0
2646,Jenson Button,35,0.0
2647,Jenson Button,36,0.0
2648,Fernando Alonso,34,0.0
2649,Fernando Alonso,35,0.0
2650,Fernando Alonso,36,1.0
2651,Fernando Alonso,37,0.0
2652,Valtteri Bottas,26,15.0
2653,Valtteri Bottas,27,4.0
2654,Valtteri Bottas,28,18.0
2655,Valtteri Bottas,29,10.0
2656,Valtteri Bottas,30,15.0
2657,Nico Hülkenberg,28,6.0
2658,Nico Hülkenberg,29,6.0
2659,Nico Hülkenberg,30,0.0
2660,Nico Hülkenberg,31,8.0
2661,Nico Hülkenberg,32,1.0
2662,Kimi Räikkönen,36,0.0
2663,Kimi Räikkönen,37,8.0
2664,Kimi Räikkönen,38,15.0
2665,Kimi Räikkönen,39,15.0
2666,Kimi Räikkönen,40,0.0
2667,Daniil Kvyat,21,12.0
2668,Daniil Kvyat,22,0.0
2669,Daniil Kvyat,25,0.0
2670,Sergio Pérez,25,4.0
2671,Sergio Pérez,26,1.0
2672,Sergio Pérez,27,6.0
2673,Sergio Pérez,28,0.0
2674,Sergio Pérez,29,6.0
2675,Esteban Gutiérrez,25,0.0
2676,Romain Grosjean,29,1.0
2677,Romain Grosjean,30,0.0
2678,Romain Grosjean,31,0.0
2679,Romain Grosjean,32,0.0
2680,Romain Grosjean,33,0.0
2681,Pastor Maldonado,30,0.0
2682,Marcus Ericsson,25,0.0
2683,Marcus Ericsson,26,0.0
2684,Marcus Ericsson,27,0.0
2685,Marcus Ericsson,28,2.0
2686,Sebastian Vettel,28,0.0
2687,Sebastian Vettel,29,10.0
2688,Sebastian Vettel,30,12.0
2689,Sebastian Vettel,31,18.0
2690,Sebastian Vettel,32,18.0
2691,Lewis Hamilton,30,18.0
2692,Lewis Hamilton,31,25.0
2693,Lewis Hamilton,32,2.0
2694,Lewis Hamilton,33,12.0
2695,Lewis Hamilton,34,25.0
2696,Felipe Massa,34,8.0
2697,Felipe Massa,35,2.0
2698,Felipe Massa,36,0.0
2699,Daniel Ricciardo,26,10.0
2700,Daniel Ricciardo,27,15.0
2701,Daniel Ricciardo,28,0.0
2702,Daniel Ricciardo,29,0.0
2703,Daniel Ricciardo,30,4.0
2704,Will Stevens,24,0.0
2706,Felipe Nasr,23,0.0
2707,Felipe Nasr,24,0.0
2708,Carlos Sainz,21,0.0
2709,Carlos Sainz,22,0.0
2710,Carlos Sainz,23,0.0
2711,Carlos Sainz,24,0.0
2712,Carlos Sainz,25,0.0
2713,Max Verstappen,18,2.0
2714,Max Verstappen,19,12.0
2715,Max Verstappen,20,25.0
2716,Max Verstappen,21,25.0
2717,Max Verstappen,22,8.0
2718,Alexander Rossi,24,0.0
2720,Jolyon Palmer,25,0.0
2721,Pascal Wehrlein,22,0.0
2722,Pascal Wehrlein,23,0.0
2723,Stoffel Vandoorne,25,0.0
2724,Stoffel Vandoorne,26,4.0
2725,Esteban Ocon,20,0.0
2726,Esteban Ocon,21,10.0
2727,Esteban Ocon,22,0.0
2728,Antonio Giovinazzi,25,0.0
2729,Lance Stroll,19,8.0
2730,Lance Stroll,20,0.0
2731,Lance Stroll,21,0.0
2732,Pierre Gasly,21,0.0
2733,Pierre Gasly,22,1.0
2734,Pierre Gasly,23,2.0
2735,Brendon Hartley,27,0.0
2736,Brendon Hartley,28,0.0
2737,Charles Leclerc,21,6.0
2738,Charles Leclerc,22,13.0
2739,Sergey Sirotkin,23,0.0
2740,Lando Norris,19,0.0
2741,Alexander Albon,23,10.0
2742,George Russell,21,0.0
2743,Robert Kubica,34,0.0
2745,Nico Rosberg,31,25.0
2746,Kevin Magnussen,23,0.0
2747,Kevin Magnussen,24,6.0
2748,Kevin Magnussen,25,0.0
2749,Kevin Magnussen,26,0.0
2750,Jenson Button,36,0.0
2751,Fernando Alonso,34,0.0
2752,Fernando Alonso,35,2.0
2753,Fernando Alonso,36,6.0
2754,Fernando Alonso,39,8.0
2755,Valtteri Bottas,26,8.0
2756,Valtteri Bottas,27,18.0
2757,Valtteri Bottas,28,0.0
2758,Valtteri Bottas,29,25.0
2759,Valtteri Bottas,31,0.0
2760,Nico Hülkenberg,28,2.0
2761,Nico Hülkenberg,29,0.0
2762,Nico Hülkenberg,30,0.0
2763,Nico Hülkenberg,31,0.0
2764,Kimi Räikkönen,36,12.0
2765,Kimi Räikkönen,37,0.0
2766,Kimi Räikkönen,38,18.0
2767,Kimi Räikkönen,39,1.0
2768,Kimi Räikkönen,41,1.0
2769,Daniil Kvyat,22,0.0
2770,Daniil Kvyat,23,0.0
2771,Daniil Kvyat,25,0.0
2772,Sergio Pérez,26,15.0
2773,Sergio Pérez,27,0.0
2774,Sergio Pérez,28,15.0
2775,Sergio Pérez,29,8.0
2776,Sergio Pérez,31,25.0
2777,Esteban Gutiérrez,24,0.0
2778,Romain Grosjean,30,0.0
2779,Romain Grosjean,31,0.0
2780,Romain Grosjean,32,0.0
2781,Romain Grosjean,33,0.0
2782,Marcus Ericsson,25,0.0
2783,Marcus Ericsson,26,0.0
2784,Marcus Ericsson,27,0.0
2785,Sebastian Vettel,28,18.0
2786,Sebastian Vettel,30,12.0
2787,Sebastian Vettel,30,12.0
2788,Sebastian Vettel,31,15.0
2789,Sebastian Vettel,33,18.0
2790,Lewis Hamilton,31,10.0
2791,Lewis Hamilton,32,10.0
2792,Lewis Hamilton,33,25.0
2793,Lewis Hamilton,34,18.0
2794,Lewis Hamilton,36,0.0
2795,Felipe Massa,35,1.0
2796,Felipe Massa,36,0.0
2797,Daniel Ricciardo,26,6.0
2798,Daniel Ricciardo,28,25.0
2799,Daniel Ricciardo,28,0.0
2800,Daniel Ricciardo,29,0.0
2801,Daniel Ricciardo,31,2.0
2802,Felipe Nasr,23,0.0
2803,Carlos Sainz,21,0.0
2804,Carlos Sainz,22,4.0
2805,Carlos Sainz,23,10.0
2806,Carlos Sainz,24,6.0
2807,Carlos Sainz,26,4.0
2808,Max Verstappen,18,4.0
2809,Max Verstappen,19,0.0
2810,Max Verstappen,20,0.0
2811,Max Verstappen,21,12.0
2812,Max Verstappen,23,0.0
2813,Jolyon Palmer,25,0.0
2814,Jolyon Palmer,26,0.0
2815,Pascal Wehrlein,21,0.0
2816,Pascal Wehrlein,22,1.0
2817,Rio Haryanto,23,0.0
2818,Stoffel Vandoorne,25,0.0
2819,Stoffel Vandoorne,26,2.0
2820,Esteban Ocon,20,8.0
2821,Esteban Ocon,21,0.0
2822,Esteban Ocon,24,0.0
2823,Antonio Giovinazzi,25,0.0
2824,Antonio Giovinazzi,27,0.0
2825,Lance Stroll,18,15.0
2826,Lance Stroll,19,4.0
2827,Lance Stroll,20,2.0
2828,Lance Stroll,22,0.0
2829,Pierre Gasly,22,0.0
2830,Pierre Gasly,23,0.0
2831,Pierre Gasly,25,15.0
2832,Brendon Hartley,28,1.0
2833,Charles Leclerc,20,8.0
2834,Charles Leclerc,21,11.0
2835,Charles Leclerc,23,12.0
2836,Sergey Sirotkin,22,0.0
2837,Lando Norris,19,4.0
2838,Lando Norris,21,10.0
2839,Alexander Albon,23,0.0
2840,George Russell,21,0.0
2841,George Russell,23,0.0
2842,Robert Kubica,34,0.0
2843,Nicholas Latifi,25,0.0
2844,Yuki Tsunoda,21,6.0
2845,Mick Schumacher,22,0.0
2846,Nikita Mazepin,22,0.0
2847,Kevin Magnussen,25,8.0
2848,Kevin Magnussen,26,0.0
2849,Fernando Alonso,36,0.0
2850,Fernando Alonso,39,4.0
2851,Valtteri Bottas,28,6.0
2852,Valtteri Bottas,29,18.0
2853,Valtteri Bottas,31,12.0
2854,Nico Hülkenberg,30,2.0
2855,Nico Hülkenberg,31,4.0
2856,Kimi Räikkönen,38,15.0
2857,Kimi Räikkönen,39,6.0
2858,Kimi Räikkönen,41,0.0
2859,Daniil Kvyat,25,0.0
2860,Sergio Pérez,28,0.0
2861,Sergio Pérez,29,0.0
2862,Sergio Pérez,31,15.0
2863,Romain Grosjean,32,0.0
2864,Romain Grosjean,33,0.0
2865,Marcus Ericsson,27,0.0
2866,Sebastian Vettel,30,10.0
2867,Sebastian Vettel,31,11.0
2868,Sebastian Vettel,33,2.0
2869,Lewis Hamilton,33,25.0
2870,Lewis Hamilton,34,25.0
2871,Lewis Hamilton,36,18.0
2872,Daniel Ricciardo,29,12.0
2873,Daniel Ricciardo,29,0.0
2874,Daniel Ricciardo,31,8.0
2875,Carlos Sainz,23,4.0
2876,Carlos Sainz,24,8.0
2877,Carlos Sainz,26,0.0
2878,Max Verstappen,20,18.0
2879,Max Verstappen,21,12.0
2880,Max Verstappen,23,26.0
2881,Stoffel Vandoorne,26,0.0
2882,Esteban Ocon,21,0.0
2883,Esteban Ocon,24,0.0
2884,Antonio Giovinazzi,25,0.0
2885,Antonio Giovinazzi,27,0.0
2886,Lance Stroll,19,0.0
2887,Lance Stroll,20,0.0
2888,Lance Stroll,22,1.0
2889,Pierre Gasly,22,0.0
2890,Pierre Gasly,23,1.0
2891,Pierre Gasly,25,6.0
2892,Brendon Hartley,28,0.0
2893,Charles Leclerc,20,1.0
2894,Charles Leclerc,21,15.0
2895,Charles Leclerc,23,0.0
2896,Sergey Sirotkin,22,0.0
2897,Lando Norris,19,2.0
2898,Lando Norris,21,10.0
2899,Alexander Albon,23,0.0
2900,George Russell,21,0.0
2901,George Russell,23,0.0
2902,Robert Kubica,34,0.0
2903,Nicholas Latifi,25,0.0
2904,Yuki Tsunoda,21,0.0
2905,Mick Schumacher,22,0.0
2906,Nikita Mazepin,22,0.0
2907,Kevin Magnussen,27,0.0
2908,Valtteri Bottas,31,18.0
2909,Kimi Räikkönen,40,2.0
2910,Daniil Kvyat,26,6.0
2911,Sergio Pérez,30,10.0
2912,Romain Grosjean,34,0.0
2913,Sebastian Vettel,33,1.0
2914,Lewis Hamilton,35,26.0
2915,Daniel Ricciardo,31,12.0
2916,Carlos Sainz,26,0.0
2917,Max Verstappen,22,0.0
2918,Esteban Ocon,24,0.0
2919,Antonio Giovinazzi,26,0.0
2920,Lance Stroll,21,0.0
2921,Pierre Gasly,24,0.0
2922,Charles Leclerc,22,4.0
2923,Lando Norris,20,8.0
2924,Alexander Albon,24,15.0
2925,George Russell,22,0.0
2926,Nicholas Latifi,25,0.0
2927,Kevin Magnussen,28,0.0
2928,Valtteri Bottas,31,0.0
2929,Nico Hülkenberg,33,4.0
2930,Kimi Räikkönen,41,0.0
2931,Daniil Kvyat,26,0.0
2932,Sergio Pérez,30,12.0
2933,Romain Grosjean,34,2.0
2934,Sebastian Vettel,33,0.0
2935,Lewis Hamilton,35,25.0
2936,Daniel Ricciardo,31,15.0
2937,Carlos Sainz,26,10.0
2938,Max Verstappen,23,19.0
2939,Esteban Ocon,24,0.0
2940,Antonio Giovinazzi,26,1.0
2941,Pierre Gasly,24,8.0
2942,Charles Leclerc,23,6.0
2943,Lando Norris,20,0.0
2944,Alexander Albon,24,0.0
2945,George Russell,22,0.0
2946,Nicholas Latifi,25,0.0
2947,Kevin Magnussen,28,0.0
2948,Fernando Alonso,39,4.0
2949,Valtteri Bottas,31,18.0
2950,Valtteri Bottas,31,16.0
2951,Kimi Räikkönen,41,0.0
2952,Kimi Räikkönen,41,0.0
2953,Daniil Kvyat,26,0.0
2954,Sergio Pérez,30,6.0
2955,Sergio Pérez,31,12.0
2956,Romain Grosjean,34,0.0
2957,Sebastian Vettel,33,1.0
2958,Sebastian Vettel,33,0.0
2959,Lewis Hamilton,35,26.0
2960,Lewis Hamilton,36,25.0
2961,Daniel Ricciardo,31,2.0
2962,Daniel Ricciardo,31,2.0
2963,Carlos Sainz,26,8.0
2964,Carlos Sainz,26,0.0
2965,Max Verstappen,23,15.0
2966,Max Verstappen,23,18.0
2967,Esteban Ocon,24,4.0
2968,Esteban Ocon,24,6.0
2969,Antonio Giovinazzi,26,0.0
2970,Antonio Giovinazzi,27,0.0
2971,Lance Stroll,22,0.0
2972,Lance Stroll,22,0.0
2973,Pierre Gasly,24,10.0
2974,Pierre Gasly,25,1.0
2975,Charles Leclerc,23,12.0
2976,Charles Leclerc,23,8.0
2977,Lando Norris,20,0.0
2978,Lando Norris,21,10.0
2979,Alexander Albon,24,0.0
2980,George Russell,22,0.0
2981,George Russell,23,0.0
2982,Nicholas Latifi,25,0.0
2983,Nicholas Latifi,25,0.0
2984,Yuki Tsunoda,20,0.0
2985,Mick Schumacher,22,0.0
2986,Nikita Mazepin,22,0.0
2987,Kevin Magnussen,28,0.0
2988,Fernando Alonso,39,1.0
2989,Valtteri Bottas,31,18.0
2990,Valtteri Bottas,31,0.0
2991,Kimi Räikkönen,41,2.0
2992,Kimi Räikkönen,41,0.0
2993,Daniil Kvyat,26,12.0
2994,Sergio Pérez,30,8.0
2995,Sergio Pérez,31,0.0
2996,Romain Grosjean,34,0.0
2997,Sebastian Vettel,33,0.0
2998,Sebastian Vettel,33,0.0
2999,Lewis Hamilton,35,26.0
3000,Lewis Hamilton,36,19.0
3001,Daniel Ricciardo,31,15.0
3002,Daniel Ricciardo,31,8.0
3003,Carlos Sainz,26,6.0
3004,Carlos Sainz,26,10.0
3005,Max Verstappen,23,0.0
3006,Max Verstappen,23,25.0
3007,Esteban Ocon,24,0.0
3008,Esteban Ocon,24,2.0
3009,Antonio Giovinazzi,26,1.0
3010,Antonio Giovinazzi,27,0.0
3011,Lance Stroll,22,0.0
3012,Lance Stroll,22,4.0
3013,Pierre Gasly,24,0.0
3014,Pierre Gasly,25,6.0
3015,Charles Leclerc,23,10.0
3016,Charles Leclerc,23,12.0
3017,Lando Norris,20,4.0
3018,Lando Norris,21,15.0
3019,Alexander Albon,24,0.0
3020,George Russell,22,0.0
3021,George Russell,23,0.0
3022,Nicholas Latifi,25,0.0
3023,Nicholas Latifi,25,0.0
3024,Yuki Tsunoda,20,0.0
3025,Mick Schumacher,22,0.0
3026,Nikita Mazepin,22,0.0
3027,Kevin Magnussen,28,0.0
3028,Valtteri Bottas,31,0.0
3029,Kimi Räikkönen,41,0.0
3030,Daniil Kvyat,26,0.0
3031,Sergio Pérez,30,18.0
3032,Romain Grosjean,34,0.0
3033,Sebastian Vettel,33,15.0
3034,Lewis Hamilton,35,25.0
3035,Daniel Ricciardo,31,1.0
3036,Carlos Sainz,26,10.0
3037,Max Verstappen,23,8.0
3038,Esteban Ocon,24,0.0
3039,Antonio Giovinazzi,26,0.0
3040,Lance Stroll,22,2.0
3041,Pierre Gasly,24,0.0
3042,Charles Leclerc,23,12.0
3043,Lando Norris,21,5.0
3044,Alexander Albon,24,6.0
3045,George Russell,22,0.0
3046,Nicholas Latifi,25,0.0
